time_period,source,location,material,EF_weighted__Global Warming Potential (Gwp1000),EF_RECIPE__Agricultural Land Occupation (Lop),EF_RECIPE__Fossil Fuel Potential (Ffp),EF_RECIPE__Freshwater Ecotoxicity Potential (Fetp),EF_RECIPE__Freshwater Eutrophication Potential (Fep),EF_RECIPE__Global Warming Potential (Gwp1000),EF_RECIPE__Human Toxicity Potential (Htpc),EF_RECIPE__Human Toxicity Potential (Htpnc),EF_RECIPE__Ionising Radiation Potential (Irp),EF_RECIPE__Marine Ecotoxicity Potential (Metp),EF_RECIPE__Marine Eutrophication Potential (Mep),EF_RECIPE__Ozone Depletion Potential (Odpinfinite),EF_RECIPE__Particulate Matter Formation Potential (Pmfp),EF_RECIPE__Photochemical Oxidant Formation Potential: Ecosystems (Eofp),EF_RECIPE__Photochemical Oxidant Formation Potential: Humans (Hofp),EF_RECIPE__Surplus Ore Potential (Sop),EF_RECIPE__Terrestrial Acidification Potential (Tap),EF_RECIPE__Terrestrial Ecotoxicity Potential (Tetp),EF_RECIPE__Water Consumption Potential (Wcp),EF_IW__Adaptation to resources services loss (beta),"EF_IW__Climate change, long term, CO2 uptake","EF_IW__Climate change, long term, biogenic","EF_IW__Climate change, long term, fossil","EF_IW__Climate change, long term, land transformation","EF_IW__Climate change, short term, CO2 uptake","EF_IW__Climate change, short term, biogenic","EF_IW__Climate change, short term, fossil","EF_IW__Climate change, short term, land transformation",EF_IW__Fossil and nuclear energy use,EF_IW__Freshwater acidification,EF_IW__Freshwater ecotoxicity,EF_IW__Freshwater eutrophication,EF_IW__Human toxicity cancer,EF_IW__Human toxicity non-cancer,EF_IW__Ionizing radiations,"EF_IW__Land occupation, biodiversity","EF_IW__Land transformation, biodiversity",EF_IW__Marine eutrophication,EF_IW__Mineral resources use,EF_IW__Ozone layer depletion,EF_IW__Particulate matter formation,EF_IW__Photochemical ozone formation,EF_IW__Resources services deficit (beta),EF_IW__Terrestrial acidification,EF_IW__Water scarcity,EF_TRACI__Acidification Potential (Ap),EF_TRACI__Ecotoxicity: Freshwater,EF_TRACI__Eutrophication Potential,EF_TRACI__Global Warming Potential (Gwp100),EF_TRACI__Human Toxicity: Carcinogenic,EF_TRACI__Human Toxicity: Non-Carcinogenic,EF_TRACI__Maximum Incremental Reactivity (Mir),EF_TRACI__Ozone Depletion Potential (Odp),EF_TRACI__Particulate Matter Formation Potential (Pmfp),SLCA_EF - Child labor impact (worker hour/kg),SLCA_EF - Forced labor impact (worker hour/kg),SLCA_EF - Fatal injury impact (worker hour/kg),SLCA_EF - Non-fatal injury impact (worker hour/kg),SLCA_EF - Unemployment impact (worker hour/kg)
0,beneficiation,BR,phosphate,0.145034674,0.030776845,0.024456635,0.014252823,3.69E-05,0.145034674,0.033660177,0.257699617,0.00575587,0.018791459,3.90E-05,2.76E-07,0.000231886,0.000241213,0.000230092,0.019031395,0.000666406,3.414946356,0.005694139,0.161768447,-0.034773461,0.014800564,0.093135599,0.023162306,-0.034773461,0.018133437,0.100026974,0.023306874,1.241696153,0.000684427,320.1276716,9.88E-06,1.26E-09,2.08E-08,0.768810948,0.037650847,0.000225501,1.48E-05,0.007144503,6.00E-09,9.33E-05,0.000230741,3.38E-05,0.000723774,0.956150538,0.000750439,5.01482867,0.000663511,0.140275594,4.75E-08,6.20E-08,0.005721641,5.24E-09,0.001089263,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CA,phosphate,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CN,phosphate,0.232781907,0.031713134,0.03892517,0.015427334,5.21E-05,0.232781907,0.04311737,0.326069474,0.009004572,0.020544125,3.97E-05,2.33E-07,0.000295268,0.000333144,0.00032278,0.01915408,0.000777253,3.714323216,0.003159106,0.291316185,-0.034635044,0.013274749,0.175207052,0.020465602,-0.034635044,0.013908706,0.191867978,0.020610176,1.956065087,0.000798074,344.2584842,1.05E-05,1.36E-09,2.47E-08,1.184209299,0.036875827,0.000230811,1.77E-05,0.007223921,5.46E-09,0.000174585,0.000323439,3.78E-05,0.000842766,0.856605205,0.00091652,5.587486128,0.000931031,0.223981695,6.09E-08,8.33E-08,0.008037212,4.75E-09,0.001127349,0.000162012,0.001620119,0.000162012,0.000162012,-0.001620119
0,beneficiation,EE,phosphate,0.235647703,0.031174966,0.048015106,0.01871855,0.000198997,0.235647703,0.045270281,0.454548223,0.018913333,0.025058406,4.90E-05,2.31E-07,0.0004413,0.000399875,0.000387669,0.019063695,0.001347481,3.71255136,0.003750327,0.310413855,-0.036881247,0.016174298,0.184388231,0.020482714,-0.036881247,0.016811189,0.194352188,0.020627293,2.55204572,0.001368319,329.3890905,1.01E-05,1.35E-09,2.87E-08,2.645839425,0.035777427,0.000222372,1.99E-05,0.007279439,5.78E-09,0.000141947,0.000388355,3.94E-05,0.001418031,0.966210204,0.001497642,6.313975528,0.001950568,0.230351713,6.40E-08,1.12E-07,0.009629414,5.05E-09,0.001142562,Not available,Not available,Not available,Not available,Not available
0,beneficiation,JP,phosphate,0.20619547,0.031000999,0.040343479,0.014806214,5.21E-05,0.20619547,0.035696984,0.279128182,0.009735108,0.019637593,4.04E-05,2.36E-07,0.000276877,0.000357745,0.000343989,0.019279283,0.000810724,3.572068279,0.003134429,0.24114817,-0.039886429,0.019574022,0.150238857,0.020471353,-0.039886429,0.020207748,0.161136707,0.020615934,2.047467127,0.000831231,325.0401707,9.98E-06,1.30E-09,2.39E-08,1.402218717,0.035585213,0.00022187,1.85E-05,0.007276505,6.44E-09,0.000104761,0.000344718,3.55E-05,0.000877421,0.854447182,0.000937335,5.182168353,0.000781012,0.200420043,5.04E-08,6.91E-08,0.008530114,5.65E-09,0.001099838,Not available,Not available,Not available,Not available,Not available
0,beneficiation,MM,phosphate,0.216551288,0.031238593,0.042956678,0.016086458,9.29E-05,0.216551288,0.040991755,0.344317278,0.00368628,0.02144227,4.32E-05,2.35E-07,0.000286901,0.000337663,0.000325431,0.018981371,0.000843763,3.621474398,0.003602375,0.279856167,-0.034955723,0.014102984,0.167736467,0.020997599,-0.034955723,0.015282767,0.176529514,0.021142175,2.054601767,0.000864096,325.8459505,1.04E-05,1.32E-09,2.40E-08,0.528743778,0.036192667,0.000225103,1.89E-05,0.007191124,6.86E-09,0.000105099,0.000326136,3.71E-05,0.000909117,0.872733723,0.000973965,5.631007637,0.001167434,0.211641141,5.79E-08,8.44E-08,0.008080144,6.06E-09,0.001102598,0.000259219,0.025921902,2.59E-05,2.59E-05,-2.59E-05
0,beneficiation,MY,phosphate,0.216551288,0.031238593,0.042956678,0.016086458,9.29E-05,0.216551288,0.040991755,0.344317278,0.00368628,0.02144227,4.32E-05,2.35E-07,0.000286901,0.000337663,0.000325431,0.018981371,0.000843763,3.621474398,0.003602375,0.279856167,-0.034955723,0.014102984,0.167736467,0.020997599,-0.034955723,0.015282767,0.176529514,0.021142175,2.054601767,0.000864096,325.8459505,1.04E-05,1.32E-09,2.40E-08,0.528743778,0.036192667,0.000225103,1.89E-05,0.007191124,6.86E-09,0.000105099,0.000326136,3.71E-05,0.000909117,0.872733723,0.000973965,5.631007637,0.001167434,0.211641141,5.79E-08,8.44E-08,0.008080144,6.06E-09,0.001102598,Not available,Not available,Not available,Not available,Not available
0,beneficiation,US,phosphate,0.187154592,0.030826788,0.03833395,0.016044638,9.97E-05,0.187154592,0.038421421,0.330557819,0.020674335,0.021284575,4.28E-05,2.34E-07,0.00026955,0.000298188,0.000284927,0.019183108,0.00074952,3.509163987,0.003175451,0.234728898,-0.035866462,0.015282736,0.138869356,0.020467817,-0.035866462,0.015916638,0.147319289,0.020612386,2.15447443,0.000767508,329.7004274,9.98E-06,1.29E-09,2.34E-08,2.781922881,0.035273118,0.000220579,1.65E-05,0.007242306,5.63E-09,0.0001,0.000285615,3.59E-05,0.000811123,0.858415846,0.000858859,5.526740131,0.001145917,0.182659327,5.43E-08,7.94E-08,0.007066016,4.91E-09,0.001108,2.16E-06,2.16E-06,2.16E-06,0.000216016,-2.16E-05
0,chemical transformation,AU,neodynium dysprosium iron alloy,0.888199307,0.008150725,0.214993044,0.057854957,0.001120585,0.888199307,0.119091257,1.739398611,0.021071347,0.078877759,7.26E-05,1.83E-07,0.001465554,0.002219076,0.002183222,0.043329555,0.003855213,5.764789752,0.003584064,1.447147451,-0.014755686,0.01391533,0.835784723,0.000447991,-0.014755686,0.01419842,0.863821239,0.000448102,10.23325084,0.004044259,242.1920026,1.56E-05,2.41E-09,7.86E-08,2.859514029,0.014840947,0.000105601,7.26E-05,0.476212523,6.90E-09,0.000454742,0.002182187,7.40E-05,0.004203973,0.156598439,0.004723292,17.97124744,0.009069708,0.873383298,1.69E-07,4.23E-07,0.053996217,6.52E-09,0.000938062,Not available,Not available,Not available,Not available,Not available
0,chemical transformation,BR,neodynium dysprosium iron alloy,0.523780064,0.008199328,0.1087704,0.031897908,0.000153553,0.523780064,0.056000815,0.672064104,0.034543791,0.043014826,1.37E-05,4.53E-07,0.000972638,0.001341462,0.00130321,0.043010306,0.002221144,5.374023652,0.020463154,0.723920749,-0.021124287,0.026075209,0.422771299,0.017687751,-0.021124287,0.043642357,0.448294843,0.017687864,5.69648206,0.002392121,198.8730284,1.46E-05,2.06E-09,5.05E-08,4.426729032,0.030985868,0.000144424,4.49E-05,0.476247173,7.87E-09,0.000355347,0.00130207,5.58E-05,0.002495599,0.827042927,0.002723474,10.66639183,0.001569,0.503372974,7.87E-08,1.77E-07,0.032132724,7.41E-09,0.000826858,Not available,Not available,Not available,Not available,Not available
