time_period,hp_magnet_demand,unit,Deployment Curve MW,mass ratio Nd,mass ratio Dy,total magnet required,Data Center Nd kg,Data center magnet kg
0,65.827,kg/MW,104.2834654,0.3,0.02,6864.667677,553080,1843600
1,66.061,kg/MW,519.9718935,0.3,0.02,34349.86326,531760,1772533.333
2,77.305,kg/MW,935.6603216,0.3,0.02,72331.22116,531663,1772210
3,82.297,kg/MW,1351.34875,0.3,0.02,111211.9481,553365,1844550
4,89.795,kg/MW,1767.037178,0.3,0.02,158671.1034,736590,2455300
5,90.388,kg/MW,2182.725606,0.3,0.02,197292.2021,807036,2690120
6,89.689,kg/MW,2242.134283,0.3,0.02,201094.7817,891250,2970833.333
7,96.926,kg/MW,2301.542961,0.3,0.02,223079.353,992364,3307880
8,95.129,kg/MW,2360.951638,0.3,0.02,224594.9684,1106745,3689150
9,98.655,kg/MW,2420.360316,0.3,0.02,238780.647,1253107,4177023.333
10,106.731,kg/MW,2479.768993,0.3,0.02,264668.2244,1430557,4768523.333
11,114.758,kg/MW,2920.817306,0.3,0.02,335187.1524,1646192,5487306.667
12,122.736,kg/MW,3361.865618,0.3,0.02,412621.9385,1899499,6331663.333
13,130.665,kg/MW,3802.913931,0.3,0.02,496907.7488,2218063,7393543.333
14,138.545,kg/MW,4243.962243,0.3,0.02,587979.749,2606984,8689946.667
15,146.376,kg/MW,4685.010556,0.3,0.02,685773.1051,3082267,10274223.33
16,154.159,kg/MW,6323.877151,0.3,0.02,974882.5777,3650195,12167316.67
17,161.892,kg/MW,7962.743746,0.3,0.02,1289104.511,4358894,14529646.67
18,169.576,kg/MW,9601.61034,0.3,0.02,1628202.675,5226483,17421610
19,177.211,kg/MW,11240.47694,0.3,0.02,1991936.159,6288875,20962916.67
20,184.797,kg/MW,12879.34353,0.3,0.02,2380064.046,7568445,25228150
21,192.334,kg/MW,11687.41255,0.3,0.02,2247886.805,9157550,30525166.67
22,199.822,kg/MW,10495.48158,0.3,0.02,2097228.12,11103819,37012730
23,207.261,kg/MW,9303.550604,0.3,0.02,1928263.202,14014407,46714690
24,214.651,kg/MW,8111.619629,0.3,0.02,1741167.265,18151621,60505403.33
25,221.992,kg/MW,6919.688654,0.3,0.02,1536115.524,24060462,80201540
