time_period,source,location,material,SLCA_EF - Child labor impact (worker hour/kg),SLCA_EF - Forced labor impact (worker hour/kg),SLCA_EF - Fatal injury impact (worker hour/kg),SLCA_EF - Non-fatal injury impact (worker hour/kg),SLCA_EF - Unemployment impact (worker hour/kg)
0,hydrochloric acid digestion,CA,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
0,hydrochloric acid digestion,CN,neodynium_oxide,0.000709289,0.007092891,0.000709289,0.000709289,-0.007092891
0,hydrochloric acid digestion,EE,neodynium_oxide,4.17E-05,0.000417229,4.17E-05,0.000417229,-0.000417229
0,hydrochloric acid digestion,JP,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
0,hydrochloric acid digestion,MM,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
0,hydrochloric acid digestion,MY,neodynium_oxide,4.17E-05,0.000417229,0.004172289,0.417228853,-0.000417229
0,hydrochloric acid digestion,US,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
0,magnet manufacturing,AU,hp_magnet,Not available,Not available,Not available,Not available,Not available
0,magnet manufacturing,BR,hp_magnet,Not available,Not available,Not available,Not available,Not available
0,magnet manufacturing,CA,hp_magnet,Not available,Not available,Not available,Not available,Not available
0,magnet manufacturing,CN,hp_magnet,4.45E-05,0.000444986,4.45E-05,4.45E-05,-0.000444986
0,magnet manufacturing,EE,hp_magnet,9.57E-07,9.57E-07,9.57E-07,9.57E-07,-9.57E-05
0,magnet manufacturing,JP,hp_magnet,2.39E-06,2.39E-06,2.39E-06,2.39E-06,-2.39E-06
0,magnet manufacturing,MM,hp_magnet,Not available,Not available,Not available,Not available,Not available
0,magnet manufacturing,MY,hp_magnet,Not available,Not available,Not available,Not available,Not available
0,magnet manufacturing,US,hp_magnet,Not available,Not available,Not available,Not available,Not available
0,metallothermic reduction,AU,dysprosium,Not available,Not available,Not available,Not available,Not available
0,metallothermic reduction,BR,dysprosium,Not available,Not available,Not available,Not available,Not available
0,metallothermic reduction,CA,dysprosium,Not available,Not available,Not available,Not available,Not available
0,metallothermic reduction,CN,dysprosium,0.000255319,0.002553191,0.000255319,0.000255319,-0.002553191
0,metallothermic reduction,EE,dysprosium,Not available,Not available,Not available,Not available,Not available
0,metallothermic reduction,JP,dysprosium,Not available,Not available,Not available,Not available,Not available
0,metallothermic reduction,MM,dysprosium,Not available,Not available,Not available,Not available,Not available
0,metallothermic reduction,MY,dysprosium,Not available,Not available,Not available,Not available,Not available
0,metallothermic reduction,US,dysprosium,Not available,Not available,Not available,Not available,Not available
0,mining,AU,bastnasite,6.33E-07,6.33E-07,6.33E-07,6.33E-06,-6.33E-06
0,mining,BR,bastnasite,Not available,Not available,Not available,Not available,Not available
0,mining,CA,bastnasite,Not available,Not available,Not available,Not available,Not available
0,mining,CN,bastnasite,3.96E-06,3.96E-05,3.96E-06,3.96E-06,-3.96E-05
0,mining,EE,bastnasite,Not available,Not available,Not available,Not available,Not available
0,mining,JP,bastnasite,Not available,Not available,Not available,Not available,Not available
0,mining,MM,bastnasite,6.33E-06,0.00063307,6.33E-07,6.33E-07,-6.33E-07
0,mining,MY,bastnasite,Not available,Not available,Not available,Not available,Not available
0,mining,US,bastnasite,5.28E-08,5.28E-08,5.28E-08,5.28E-06,-5.28E-07
0,mining,AU,monazaite,6.33E-07,6.33E-07,6.33E-07,6.33E-06,-6.33E-06
0,mining,BR,monazaite,Not available,Not available,Not available,Not available,Not available
0,mining,CA,monazaite,Not available,Not available,Not available,Not available,Not available
0,mining,CN,monazaite,3.96E-06,3.96E-05,3.96E-06,3.96E-06,-3.96E-05
0,mining,EE,monazaite,Not available,Not available,Not available,Not available,Not available
0,mining,JP,monazaite,Not available,Not available,Not available,Not available,Not available
0,mining,MM,monazaite,6.33E-06,0.00063307,6.33E-07,6.33E-07,-6.33E-07
0,mining,MY,monazaite,Not available,Not available,Not available,Not available,Not available
0,mining,US,monazaite,5.28E-08,5.28E-08,5.28E-08,5.28E-06,-5.28E-07
0,molten_salt electrolysis,AU,neodynium,Not available,Not available,Not available,Not available,Not available
0,molten_salt electrolysis,BR,neodynium,Not available,Not available,Not available,Not available,Not available
0,molten_salt electrolysis,CA,neodynium,Not available,Not available,Not available,Not available,Not available
