time_period,source,location,material,destination,destination_location,processing cost,transportation cost,tariff_cost,notes
0,beneficiation,AU,flurocarbonate,,,4.8,0.14,0.0,[SK proc] Domestic processing cost
0,beneficiation,AU,phosphate,,,5.6,0.05,0.0,[SK proc] Domestic processing cost
0,beneficiation,CN,flurocarbonate,,,3.8,0.25,0.0,[SK proc] Domestic processing cost
0,beneficiation,CN,phosphate,,,4.5,0.05,0.0,[SK proc] Domestic processing cost
0,beneficiation,US,flurocarbonate,,,5.5,0.15,0.0,[SK proc] Domestic processing cost
0,beneficiation,US,phosphate,,,6.5,0.14,0.0,[SK proc] Domestic processing cost
0,chemical transformation,CN,neodynium dysprosium iron alloy,magnet manufacturing,US,0.0,0.0,27.0,[SK tariff] Tariff on CN->US cross-border flow
0,chemical transformation,CN,neodynium dysprosium iron alloy,,,5.5,0.2,0.0,[SK proc] Domestic processing cost
0,chemical transformation,EE,neodynium dysprosium iron alloy,,,1.35,0.07,0.0,Neo alloy production EE
0,chemical transformation,JP,neodynium dysprosium iron alloy,magnet manufacturing,US,0.0,0.0,2.0,[SK tariff] Tariff on JP->US cross-border flow
0,chemical transformation,JP,neodynium dysprosium iron alloy,,,6.8,0.28,0.0,[SK proc] Domestic processing cost
0,chemical transformation,US,neodynium dysprosium iron alloy,,,7.0,0.2,0.0,[SK proc] Domestic processing cost
0,clay mining,AU,ion adsorption clay,,,0.02,0.02,0.0,Domestic processing cost
0,clay mining,BR,ion adsorption clay,,,0.15,0.0135,0.0,Brazil IAC; similar to MM structure but with higher compliance cost
0,clay mining,CN,ion adsorption clay,,,0.02,0.035,0.0,Domestic processing cost
0,clay mining,MM,ion adsorption clay,,,0.004,0.014,0.0,Myanmar in-situ leach; 1/7 of CN cost due to labor+no regulation
0,clay refining,AU,dysprosium_oxide,,,610.0,0.6,0.0,Domestic processing cost
0,clay refining,AU,neodynium_oxide,,,65.0,0.85,0.0,Domestic processing cost
0,clay refining,BR,dysprosium_oxide,metallothermic reduction,EE,0.0,1.8,0.0,BR→EE DyOx; 0 tariff
0,clay refining,BR,dysprosium_oxide,metallothermic reduction,US,0.0,2.15,0.0,BR→US DyOx; 0 tariff
0,clay refining,BR,dysprosium_oxide,,,68.0,0.11,0.0,Brazil clay refining DyOx
0,clay refining,BR,neodynium_oxide,molten_salt electrolysis,EE,0.0,1.8,0.0,BR→EE NdOx
0,clay refining,BR,neodynium_oxide,molten_salt electrolysis,US,0.0,1.0,0.0,BR→US NdOx; 0 tariff
0,clay refining,BR,neodynium_oxide,,,63.0,0.0225,0.0,Brazil clay refining
0,clay refining,CN,dysprosium_oxide,,,440.0,0.5,0.0,Domestic processing cost
0,clay refining,CN,neodynium_oxide,,,75.0,0.15,0.0,Domestic processing cost
0,clay refining,MM,dysprosium_oxide,hydrochloric acid digestion,CN,0.0,0.2,0.0,MM→CN HCAD
0,clay refining,MM,dysprosium_oxide,sulfuric acid digestion,CN,0.0,0.48,0.0,MM→CN; fixed-price KIA agreement; no tariff
0,clay refining,MM,dysprosium_oxide,,,69.0,0.06,0.0,Myanmar crude processing; low cost
0,clay refining,MM,neodynium_oxide,hydrochloric acid digestion,CN,0.0,0.55,0.0,MM→CN HCAD
0,clay refining,MM,neodynium_oxide,sulfuric acid digestion,CN,0.0,0.4,0.0,MM→CN; KIA-mediated trade
0,clay refining,MM,neodynium_oxide,,,69.0,0.1,0.0,Myanmar crude processing
0,cryogenic,US,neodynium dysprosium iron alloy,,,3.8,0.14,0.0,[SK proc] Domestic processing cost
0,direct reuse,US,hp_magnet,,,0.5,0.18,0.0,[SK proc] Domestic processing cost
0,hydrochloric acid digestion,AU,dysprosium_oxide,,,8.4,0.34,0.0,[SK proc] Domestic processing cost
0,hydrochloric acid digestion,AU,neodynium_oxide,,,7.8,0.28,0.0,[SK proc] Domestic processing cost
0,hydrochloric acid digestion,CN,dysprosium_oxide,metallothermic reduction,US,0.0,0.0,38.75,Tariff on CN->US cross-border flow
0,hydrochloric acid digestion,CN,dysprosium_oxide,,,7.2,0.15,0.0,[SK proc] Domestic processing cost
0,hydrochloric acid digestion,CN,neodynium_oxide,molten_salt electrolysis,US,0.0,0.0,12.5,Tariff on CN->US cross-border flow
0,hydrochloric acid digestion,CN,neodynium_oxide,,,6.5,0.27,0.0,[SK proc] Domestic processing cost
0,hydrochloric acid digestion,EE,dysprosium_oxide,,,1.5,0.15,0.0,Neo Silmet HCAD HREE
0,hydrochloric acid digestion,EE,neodynium_oxide,,,4.5,0.018,0.0,Neo Silmet HCAD
0,hydrochloric acid digestion,MY,dysprosium_oxide,metallothermic reduction,EE,0.0,1.75,0.0,MY→EE ocean freight
0,hydrochloric acid digestion,MY,dysprosium_oxide,metallothermic reduction,JP,0.0,1.25,0.0,MY→JP ocean freight
0,hydrochloric acid digestion,MY,dysprosium_oxide,metallothermic reduction,US,0.0,1.15,0.0,MY→US ocean freight
0,hydrochloric acid digestion,MY,dysprosium_oxide,molten_salt electrolysis,EE,0.0,1.65,0.0,MY→EE ocean freight
0,hydrochloric acid digestion,MY,dysprosium_oxide,molten_salt electrolysis,JP,0.0,0.5,0.0,MY→JP ocean freight
0,hydrochloric acid digestion,MY,dysprosium_oxide,molten_salt electrolysis,US,0.0,0.15,0.0,MY→US ocean freight
0,hydrochloric acid digestion,MY,dysprosium_oxide,,,0.82,0.12,0.0,Lynas LAMP HCAD HREE
0,hydrochloric acid digestion,MY,neodynium_oxide,metallothermic reduction,EE,0.0,1.5,0.0,MY→EE ocean freight
