lcia,value,lcia_unit,year,method,location,process,unit of functional demand,functional unit,run_location
Acidification Potential (Ap) No Lt,0.022690641,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Global Warming Potential (Gwp100) No Lt,5.907741218,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Ecotoxicity: Freshwater No Lt,5.772759096,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Eutrophication Potential No Lt,0.001952716,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Human Toxicity: Carcinogenic No Lt,1.16E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Human Toxicity: Non-Carcinogenic No Lt,3.65E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Ozone Depletion Potential (Odp) No Lt,7.08E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Particulate Matter Formation Potential (Pmfp) No Lt,0.001570172,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Maximum Incremental Reactivity (Mir) No Lt,0.256797601,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Acidification Potential (Ap),0.022713583,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Global Warming Potential (Gwp100),5.907940025,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Ecotoxicity: Freshwater,38.62967758,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Eutrophication Potential,0.011142428,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Human Toxicity: Carcinogenic,1.55E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Human Toxicity: Non-Carcinogenic,8.59E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Ozone Depletion Potential (Odp),7.08E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Particulate Matter Formation Potential (Pmfp),0.001578884,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Maximum Incremental Reactivity (Mir),0.257599359,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,JP,Magnet Manufacturing,kilogram,1,JP
Terrestrial Acidification Potential (Tap),0.01881617,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Global Warming Potential (Gwp1000),6.076835953,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Freshwater Ecotoxicity Potential (Fetp),0.118323004,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Marine Ecotoxicity Potential (Metp),1.037137064,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Terrestrial Ecotoxicity Potential (Tetp),25.73725289,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Fossil Fuel Potential (Ffp),1.375590925,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Freshwater Eutrophication Potential (Fep),0.001299084,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Marine Eutrophication Potential (Mep),0.000142271,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Human Toxicity Potential (Htpc),4.649226659,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Human Toxicity Potential (Htpnc),2.747635727,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Ionising Radiation Potential (Irp),0.385097839,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Agricultural Land Occupation (Lop),0.052343517,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Surplus Ore Potential (Sop),0.034516117,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
Ozone Depletion Potential (Odpinfinite),1.51E-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,JP,Magnet Manufacturing,kilogram,1,JP
