lcia,value,lcia_unit,year,method,location,process,unit of functional demand,functional unit,source_file
Human Toxicity Potential (Htpnc),7.230647200241556,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Ionising Radiation Potential (Irp),0.2267640119062737,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Agricultural Land Occupation (Lop),0.0789801899855137,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Surplus Ore Potential (Sop),0.3199615346604411,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Ozone Depletion Potential (Odpinfinite),2.963644480025408e-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Particulate Matter Formation Potential (Pmfp),0.0055981124805094,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Photochemical Oxidant Formation Potential: Humans (Hofp),0.0077361624907062,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.0084850377509846,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Water Consumption Potential (Wcp),0.0480534371072736,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Acidification Potential (Ap) No Lt,0.0702987363507677,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Global Warming Potential (Gwp100) No Lt,0.9870578367335672,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Ecotoxicity: Freshwater No Lt,0.8196578198006763,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Eutrophication Potential No Lt,0.0047240949074966,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Human Toxicity: Carcinogenic No Lt,2.9316669021849144e-09,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Human Toxicity: Non-Carcinogenic No Lt,7.980638653772861e-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Ozone Depletion Potential (Odp) No Lt,7.649892615942675e-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Particulate Matter Formation Potential (Pmfp) No Lt,0.0027030945178145,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Maximum Incremental Reactivity (Mir) No Lt,1.6714008438051746,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Acidification Potential (Ap),0.0703237547549419,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Global Warming Potential (Gwp100),0.9872741196989382,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Ecotoxicity: Freshwater,20.90420729943697,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Eutrophication Potential,0.0063759195681299,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Human Toxicity: Carcinogenic,3.405446779667062e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Human Toxicity: Non-Carcinogenic,2.4321626187725574e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Ozone Depletion Potential (Odp),7.649892615942675e-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Particulate Matter Formation Potential (Pmfp),0.0027060554180336,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Maximum Incremental Reactivity (Mir),1.6722715666570327,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Terrestrial Acidification Potential (Tap),0.048844737361864,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Global Warming Potential (Gwp1000),1.0128095538324864,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Freshwater Ecotoxicity Potential (Fetp),0.0536801619453808,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Marine Ecotoxicity Potential (Metp),0.0758760600384846,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Terrestrial Ecotoxicity Potential (Tetp),16.233741687092703,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Fossil Fuel Potential (Ffp),0.1751489997535247,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Freshwater Eutrophication Potential (Fep),0.0001856136323473,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Marine Eutrophication Potential (Mep),5.5717180129487954e-05,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Human Toxicity Potential (Htpc),0.2397795366096859,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Human Toxicity Potential (Htpnc),0.8895027736165528,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Ionising Radiation Potential (Irp),0.0174243140106516,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Agricultural Land Occupation (Lop),0.0252627032319142,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Surplus Ore Potential (Sop),0.0135115476319539,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Ozone Depletion Potential (Odpinfinite),8.269460344597689e-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Particulate Matter Formation Potential (Pmfp),0.0118979427289747,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Photochemical Oxidant Formation Potential: Humans (Hofp),0.0678433277203687,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.0691909366924716,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Water Consumption Potential (Wcp),0.0084578615019023,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM Mining,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_MiningCN.csv
Acidification Potential (Ap) No Lt,0.0119786968130961,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Global Warming Potential (Gwp100) No Lt,2.02293386029039,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Ecotoxicity: Freshwater No Lt,2.602044239908236,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Eutrophication Potential No Lt,0.0017092936370004,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Human Toxicity: Carcinogenic No Lt,1.2887266675869453e-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Human Toxicity: Non-Carcinogenic No Lt,3.150506231650308e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Ozone Depletion Potential (Odp) No Lt,9.800210240750273e-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Particulate Matter Formation Potential (Pmfp) No Lt,0.0014699625469047,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Maximum Incremental Reactivity (Mir) No Lt,0.1620289151406785,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Acidification Potential (Ap),0.0121222579912459,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Global Warming Potential (Gwp100),2.024178082173751,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Ecotoxicity: Freshwater,59.02012755168138,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Eutrophication Potential,0.0073388088226153,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Human Toxicity: Carcinogenic,8.160154142857733e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Human Toxicity: Non-Carcinogenic,8.872066802178663e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Ozone Depletion Potential (Odp),9.800210240750273e-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Particulate Matter Formation Potential (Pmfp),0.0014819696713162,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Maximum Incremental Reactivity (Mir),0.1670382034096123,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Terrestrial Acidification Potential (Tap),0.0098546066718149,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Global Warming Potential (Gwp1000),2.0986587624269752,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Freshwater Ecotoxicity Potential (Fetp),0.1624670395935486,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Marine Ecotoxicity Potential (Metp),0.2281375865666471,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Terrestrial Ecotoxicity Potential (Tetp),41.47719340179689,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Fossil Fuel Potential (Ffp),0.4699075247366124,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Freshwater Eutrophication Potential (Fep),0.0006436946973738,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Marine Eutrophication Potential (Mep),8.799736798964942e-05,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Human Toxicity Potential (Htpc),0.5795890507385807,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Human Toxicity Potential (Htpnc),3.35215135553198,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Ionising Radiation Potential (Irp),0.0903278466884447,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Agricultural Land Occupation (Lop),0.0713092747348833,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Surplus Ore Potential (Sop),0.1154018623546032,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Ozone Depletion Potential (Odpinfinite),1.034636324935225e-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Particulate Matter Formation Potential (Pmfp),0.0034715264974664,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Photochemical Oxidant Formation Potential: Humans (Hofp),0.0062286473357601,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.0064235353282747,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Water Consumption Potential (Wcp),0.0307239620731789,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite HCL Digestion,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_HCL_DigestionCN.csv
Acidification Potential (Ap) No Lt,0.0783085263246444,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Global Warming Potential (Gwp100) No Lt,22.731442193209624,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Ecotoxicity: Freshwater No Lt,23.480379197491487,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Eutrophication Potential No Lt,0.0435089143925736,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Human Toxicity: Carcinogenic No Lt,1.60528104424588e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Human Toxicity: Non-Carcinogenic No Lt,2.8700453728543622e-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Ozone Depletion Potential (Odp) No Lt,1.3941735834499917e-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Particulate Matter Formation Potential (Pmfp) No Lt,0.0094993458524153,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Maximum Incremental Reactivity (Mir) No Lt,0.923747656334643,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Acidification Potential (Ap),0.0790075132650857,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Global Warming Potential (Gwp100),22.737490882027423,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Ecotoxicity: Freshwater,471.2091633078002,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Eutrophication Potential,0.0985486241233315,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Human Toxicity: Carcinogenic,4.901984681533832e-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Human Toxicity: Non-Carcinogenic,7.970146457424676e-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Ozone Depletion Potential (Odp),1.3941735834499917e-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Particulate Matter Formation Potential (Pmfp),0.0096138594791365,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Maximum Incremental Reactivity (Mir),0.9481165660527224,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Terrestrial Acidification Potential (Tap),0.0650904487752058,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Global Warming Potential (Gwp1000),23.56327166300833,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Freshwater Ecotoxicity Potential (Fetp),1.3547851581769343,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Marine Ecotoxicity Potential (Metp),1.8721756799693536,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Terrestrial Ecotoxicity Potential (Tetp),289.7754600183854,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Fossil Fuel Potential (Ffp),5.278735463882196,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Freshwater Eutrophication Potential (Fep),0.0060292905231164,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Marine Eutrophication Potential (Mep),0.0008459452901682,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Human Toxicity Potential (Htpc),3.5387354596442373,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Human Toxicity Potential (Htpnc),30.05447205447009,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Ionising Radiation Potential (Irp),1.029539468866947,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Agricultural Land Occupation (Lop),0.4386059735631146,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Surplus Ore Potential (Sop),1.767418083509604,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Ozone Depletion Potential (Odpinfinite),1.0199012777395256e-05,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
