process_from,loc_from,process_to,loc_to,material,notes
chemical transformation,CN,magnet manufacturing,EE,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,CN,magnet manufacturing,JP,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,CN,magnet manufacturing,US,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,EE,magnet manufacturing,CN,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,EE,magnet manufacturing,JP,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,EE,magnet manufacturing,US,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,JP,magnet manufacturing,CN,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,JP,magnet manufacturing,EE,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,JP,magnet manufacturing,US,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,US,magnet manufacturing,CN,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,US,magnet manufacturing,EE,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
chemical transformation,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,Alloy trade to magnet mfg
clay refining,AU,metallothermic reduction,CN,dysprosium_oxide,AU Lynas oxide exports
clay refining,AU,metallothermic reduction,EE,dysprosium_oxide,AU Lynas oxide exports
clay refining,AU,metallothermic reduction,JP,dysprosium_oxide,AU Lynas oxide exports
clay refining,AU,metallothermic reduction,US,dysprosium_oxide,AU Lynas oxide exports
clay refining,AU,molten_salt electrolysis,CN,neodynium_oxide,AU Lynas oxide exports
clay refining,AU,molten_salt electrolysis,EE,neodynium_oxide,AU Lynas oxide exports
clay refining,AU,molten_salt electrolysis,JP,neodynium_oxide,AU Lynas oxide exports
clay refining,AU,molten_salt electrolysis,US,neodynium_oxide,AU Lynas oxide exports
clay refining,BR,metallothermic reduction,CN,dysprosium_oxide,BR Serra Verde oxide exports
clay refining,BR,metallothermic reduction,EE,dysprosium_oxide,BR Serra Verde oxide exports
clay refining,BR,metallothermic reduction,US,dysprosium_oxide,BR Serra Verde oxide exports
clay refining,BR,molten_salt electrolysis,CN,neodynium_oxide,BR Serra Verde oxide exports
clay refining,BR,molten_salt electrolysis,EE,neodynium_oxide,BR Serra Verde oxide exports
clay refining,BR,molten_salt electrolysis,US,neodynium_oxide,BR Serra Verde oxide exports
clay refining,CN,metallothermic reduction,EE,dysprosium_oxide,CN oxide exports
clay refining,CN,metallothermic reduction,JP,dysprosium_oxide,CN oxide exports
clay refining,CN,metallothermic reduction,US,dysprosium_oxide,CN oxide exports
clay refining,CN,molten_salt electrolysis,EE,neodynium_oxide,CN oxide exports
clay refining,CN,molten_salt electrolysis,JP,neodynium_oxide,CN oxide exports
clay refining,CN,molten_salt electrolysis,US,neodynium_oxide,CN oxide exports
clay refining,MM,metallothermic reduction,CN,dysprosium_oxide,MM clay→CN MR only (border geography)
clay refining,MM,molten_salt electrolysis,CN,neodynium_oxide,MM clay→CN MSE only (border geography)
cryogenic,US,magnet manufacturing,CN,neodynium dysprosium iron alloy,US EoL cryogenic alloy → foreign magnet mfg
cryogenic,US,magnet manufacturing,EE,neodynium dysprosium iron alloy,US EoL cryogenic alloy → foreign magnet mfg
cryogenic,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,US EoL cryogenic alloy → foreign magnet mfg
hydrochloric acid digestion,AU,metallothermic reduction,CN,dysprosium_oxide,AU HCAD→MR oxide trade
hydrochloric acid digestion,AU,metallothermic reduction,EE,dysprosium_oxide,AU HCAD→MR oxide trade
hydrochloric acid digestion,AU,metallothermic reduction,JP,dysprosium_oxide,AU HCAD→MR oxide trade
hydrochloric acid digestion,AU,metallothermic reduction,US,dysprosium_oxide,AU HCAD→MR oxide trade
hydrochloric acid digestion,AU,molten_salt electrolysis,CN,neodynium_oxide,AU HCAD→MSE oxide trade
hydrochloric acid digestion,AU,molten_salt electrolysis,EE,neodynium_oxide,AU HCAD→MSE oxide trade
hydrochloric acid digestion,AU,molten_salt electrolysis,JP,neodynium_oxide,AU HCAD→MSE oxide trade
hydrochloric acid digestion,AU,molten_salt electrolysis,US,neodynium_oxide,AU HCAD→MSE oxide trade
hydrochloric acid digestion,CN,metallothermic reduction,EE,dysprosium_oxide,CN HCAD→MR oxide trade
hydrochloric acid digestion,CN,metallothermic reduction,JP,dysprosium_oxide,CN HCAD→MR oxide trade
hydrochloric acid digestion,CN,metallothermic reduction,US,dysprosium_oxide,CN HCAD→MR oxide trade
hydrochloric acid digestion,CN,molten_salt electrolysis,EE,neodynium_oxide,CN HCAD→MSE oxide trade
hydrochloric acid digestion,CN,molten_salt electrolysis,JP,neodynium_oxide,CN HCAD→MSE oxide trade
hydrochloric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,CN HCAD→MSE oxide trade
hydrochloric acid digestion,EE,metallothermic reduction,CN,dysprosium_oxide,EE HCAD→MR oxide trade
hydrochloric acid digestion,EE,metallothermic reduction,JP,dysprosium_oxide,EE HCAD→MR oxide trade
hydrochloric acid digestion,EE,metallothermic reduction,US,dysprosium_oxide,EE HCAD→MR oxide trade
hydrochloric acid digestion,EE,molten_salt electrolysis,CN,neodynium_oxide,EE HCAD→MSE oxide trade
hydrochloric acid digestion,EE,molten_salt electrolysis,JP,neodynium_oxide,EE HCAD→MSE oxide trade
hydrochloric acid digestion,EE,molten_salt electrolysis,US,neodynium_oxide,EE HCAD→MSE oxide trade
hydrochloric acid digestion,MY,metallothermic reduction,CN,dysprosium_oxide,MY HCAD→MR oxide trade
hydrochloric acid digestion,MY,metallothermic reduction,EE,dysprosium_oxide,MY HCAD→MR oxide trade
hydrochloric acid digestion,MY,metallothermic reduction,JP,dysprosium_oxide,MY HCAD→MR oxide trade
hydrochloric acid digestion,MY,metallothermic reduction,US,dysprosium_oxide,MY HCAD→MR oxide trade
hydrochloric acid digestion,MY,molten_salt electrolysis,CN,neodynium_oxide,MY HCAD→MSE oxide trade
hydrochloric acid digestion,MY,molten_salt electrolysis,EE,neodynium_oxide,MY HCAD→MSE oxide trade
hydrochloric acid digestion,MY,molten_salt electrolysis,JP,neodynium_oxide,MY HCAD→MSE oxide trade
hydrochloric acid digestion,MY,molten_salt electrolysis,US,neodynium_oxide,MY HCAD→MSE oxide trade
hydrochloric acid digestion,US,metallothermic reduction,JP,dysprosium_oxide,US HCAD→JP MR
