process_from,loc_from,process_to,loc_to,material,notes
hydrochloric acid digestion,US,molten_salt electrolysis,JP,neodynium_oxide,US HCAD→JP MSE
hydrometallurgical,US,magnet manufacturing,CN,neodynium dysprosium iron alloy,US EoL hydrometallurgical alloy → foreign magnet mfg
hydrometallurgical,US,magnet manufacturing,EE,neodynium dysprosium iron alloy,US EoL hydrometallurgical alloy → foreign magnet mfg
hydrometallurgical,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,US EoL hydrometallurgical alloy → foreign magnet mfg
magnet manufacturing,CN,magnet_market_mix,US,hp_magnet,Magnet imports to US market
magnet manufacturing,EE,magnet_market_mix,US,hp_magnet,Magnet imports to US market
magnet manufacturing,JP,magnet_market_mix,US,hp_magnet,Magnet imports to US market
metallothermic reduction,CN,chemical transformation,EE,dysprosium,Dy metal trade to CT
metallothermic reduction,CN,chemical transformation,JP,dysprosium,Dy metal trade to CT
metallothermic reduction,CN,chemical transformation,US,dysprosium,Dy metal trade to CT
metallothermic reduction,EE,chemical transformation,CN,dysprosium,Dy metal trade to CT
metallothermic reduction,EE,chemical transformation,JP,dysprosium,Dy metal trade to CT
metallothermic reduction,EE,chemical transformation,US,dysprosium,Dy metal trade to CT
metallothermic reduction,JP,chemical transformation,CN,dysprosium,Dy metal trade to CT
metallothermic reduction,JP,chemical transformation,EE,dysprosium,Dy metal trade to CT
metallothermic reduction,JP,chemical transformation,US,dysprosium,Dy metal trade to CT
metallothermic reduction,US,chemical transformation,CN,dysprosium,Dy metal trade to CT
metallothermic reduction,US,chemical transformation,EE,dysprosium,Dy metal trade to CT
metallothermic reduction,US,chemical transformation,JP,dysprosium,Dy metal trade to CT
mining,AU,beneficiation,CN,bastnasite,AU ore to CN/US (historical + emerging)
mining,AU,beneficiation,CN,monazaite,AU ore to CN/US (historical + emerging)
mining,AU,beneficiation,US,bastnasite,AU ore to CN/US (historical + emerging)
mining,AU,beneficiation,US,monazaite,AU ore to CN/US (historical + emerging)
mining,AU,chemical transformation,CN,iron,Iron ore/scrap trade to CT
mining,AU,chemical transformation,EE,iron,Iron ore/scrap trade to CT
mining,AU,chemical transformation,JP,iron,Iron ore/scrap trade to CT
mining,AU,chemical transformation,US,iron,Iron ore/scrap trade to CT
mining,BR,beneficiation,CN,bastnasite,BR ore to CN/US beneficiation
mining,BR,beneficiation,CN,monazaite,BR ore to CN/US beneficiation
mining,BR,beneficiation,US,bastnasite,BR ore to CN/US beneficiation
mining,BR,beneficiation,US,monazaite,BR ore to CN/US beneficiation
mining,BR,chemical transformation,CN,iron,Iron ore/scrap trade to CT
mining,BR,chemical transformation,EE,iron,Iron ore/scrap trade to CT
mining,BR,chemical transformation,JP,iron,Iron ore/scrap trade to CT
mining,BR,chemical transformation,US,iron,Iron ore/scrap trade to CT
mining,CA,beneficiation,US,bastnasite,CA→US USMCA ore trade
mining,CA,beneficiation,US,monazaite,CA→US USMCA ore trade
mining,CA,chemical transformation,CN,iron,Iron ore/scrap trade to CT
mining,CA,chemical transformation,EE,iron,Iron ore/scrap trade to CT
mining,CA,chemical transformation,JP,iron,Iron ore/scrap trade to CT
mining,CA,chemical transformation,US,iron,Iron ore/scrap trade to CT
mining,CN,chemical transformation,EE,iron,Iron ore/scrap trade to CT
mining,CN,chemical transformation,JP,iron,Iron ore/scrap trade to CT
mining,CN,chemical transformation,US,iron,Iron ore/scrap trade to CT
mining,US,chemical transformation,CN,iron,Iron ore/scrap trade to CT
mining,US,chemical transformation,EE,iron,Iron ore/scrap trade to CT
mining,US,chemical transformation,JP,iron,Iron ore/scrap trade to CT
molten_salt electrolysis,CN,chemical transformation,EE,neodynium,Nd metal trade to CT
molten_salt electrolysis,CN,chemical transformation,JP,neodynium,Nd metal trade to CT
molten_salt electrolysis,CN,chemical transformation,US,neodynium,Nd metal trade to CT
molten_salt electrolysis,EE,chemical transformation,CN,neodynium,Nd metal trade to CT
molten_salt electrolysis,EE,chemical transformation,JP,neodynium,Nd metal trade to CT
molten_salt electrolysis,EE,chemical transformation,US,neodynium,Nd metal trade to CT
molten_salt electrolysis,JP,chemical transformation,CN,neodynium,Nd metal trade to CT
molten_salt electrolysis,JP,chemical transformation,EE,neodynium,Nd metal trade to CT
molten_salt electrolysis,JP,chemical transformation,US,neodynium,Nd metal trade to CT
molten_salt electrolysis,US,chemical transformation,CN,neodynium,Nd metal trade to CT
molten_salt electrolysis,US,chemical transformation,EE,neodynium,Nd metal trade to CT
molten_salt electrolysis,US,chemical transformation,JP,neodynium,Nd metal trade to CT
pyrometallurgical,US,magnet manufacturing,CN,neodynium dysprosium iron alloy,US EoL pyrometallurgical alloy → foreign magnet mfg
pyrometallurgical,US,magnet manufacturing,EE,neodynium dysprosium iron alloy,US EoL pyrometallurgical alloy → foreign magnet mfg
pyrometallurgical,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,US EoL pyrometallurgical alloy → foreign magnet mfg
sulfuric acid digestion,AU,metallothermic reduction,CN,dysprosium_oxide,AU SAD→MR oxide trade
sulfuric acid digestion,AU,metallothermic reduction,EE,dysprosium_oxide,AU SAD→MR oxide trade
sulfuric acid digestion,AU,metallothermic reduction,JP,dysprosium_oxide,AU SAD→MR oxide trade
sulfuric acid digestion,AU,metallothermic reduction,US,dysprosium_oxide,AU SAD→MR oxide trade
sulfuric acid digestion,AU,molten_salt electrolysis,CN,neodynium_oxide,AU SAD→MSE oxide trade
sulfuric acid digestion,AU,molten_salt electrolysis,EE,neodynium_oxide,AU SAD→MSE oxide trade
sulfuric acid digestion,AU,molten_salt electrolysis,JP,neodynium_oxide,AU SAD→MSE oxide trade
sulfuric acid digestion,AU,molten_salt electrolysis,US,neodynium_oxide,AU SAD→MSE oxide trade
sulfuric acid digestion,CN,metallothermic reduction,EE,dysprosium_oxide,CN SAD→MR oxide trade
sulfuric acid digestion,CN,metallothermic reduction,JP,dysprosium_oxide,CN SAD→MR oxide trade
sulfuric acid digestion,CN,metallothermic reduction,US,dysprosium_oxide,CN SAD→MR oxide trade
sulfuric acid digestion,CN,molten_salt electrolysis,EE,neodynium_oxide,CN SAD→MSE oxide trade
sulfuric acid digestion,CN,molten_salt electrolysis,JP,neodynium_oxide,CN SAD→MSE oxide trade
sulfuric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,CN SAD→MSE oxide trade
sulfuric acid digestion,EE,metallothermic reduction,CN,dysprosium_oxide,EE SAD→MR oxide trade
sulfuric acid digestion,EE,metallothermic reduction,JP,dysprosium_oxide,EE SAD→MR oxide trade
sulfuric acid digestion,EE,metallothermic reduction,US,dysprosium_oxide,EE SAD→MR oxide trade
sulfuric acid digestion,EE,molten_salt electrolysis,CN,neodynium_oxide,EE SAD→MSE oxide trade
sulfuric acid digestion,EE,molten_salt electrolysis,JP,neodynium_oxide,EE SAD→MSE oxide trade
sulfuric acid digestion,EE,molten_salt electrolysis,US,neodynium_oxide,EE SAD→MSE oxide trade
sulfuric acid digestion,MY,metallothermic reduction,CN,dysprosium_oxide,MY SAD→MR oxide trade
sulfuric acid digestion,MY,metallothermic reduction,EE,dysprosium_oxide,MY SAD→MR oxide trade
sulfuric acid digestion,MY,metallothermic reduction,JP,dysprosium_oxide,MY SAD→MR oxide trade
sulfuric acid digestion,MY,metallothermic reduction,US,dysprosium_oxide,MY SAD→MR oxide trade
sulfuric acid digestion,MY,molten_salt electrolysis,CN,neodynium_oxide,MY SAD→MSE oxide trade
sulfuric acid digestion,MY,molten_salt electrolysis,EE,neodynium_oxide,MY SAD→MSE oxide trade
sulfuric acid digestion,MY,molten_salt electrolysis,JP,neodynium_oxide,MY SAD→MSE oxide trade
sulfuric acid digestion,MY,molten_salt electrolysis,US,neodynium_oxide,MY SAD→MSE oxide trade
sulfuric acid digestion,US,metallothermic reduction,JP,dysprosium_oxide,US SAD→JP MR
sulfuric acid digestion,US,molten_salt electrolysis,JP,neodynium_oxide,US SAD→JP MSE
clay refining,MM,hydrochloric acid digestion,CN,dysprosium_oxide,MM→CN co-product DyOx; KIA-mediated; cost row existed
clay refining,MM,hydrochloric acid digestion,CN,neodynium_oxide,MM→CN co-product NdOx; KIA-mediated; cost row existed
clay refining,MM,sulfuric acid digestion,CN,dysprosium_oxide,MM→CN co-product DyOx SAD; cost row existed
clay refining,MM,sulfuric acid digestion,CN,neodynium_oxide,MM→CN co-product NdOx SAD; cost row existed
hydrochloric acid digestion,MY,metallothermic reduction,EE,neodynium_oxide,MY→EE co-product oxide; co-flow lock requires both oxides on arc
hydrochloric acid digestion,MY,metallothermic reduction,JP,neodynium_oxide,MY→JP co-product oxide; co-flow lock requires both oxides on arc
hydrochloric acid digestion,MY,metallothermic reduction,US,neodynium_oxide,MY→US co-product oxide; co-flow lock requires both oxides on arc
hydrochloric acid digestion,MY,molten_salt electrolysis,EE,dysprosium_oxide,MY→EE co-product oxide; co-flow lock requires both oxides on arc
hydrochloric acid digestion,MY,molten_salt electrolysis,JP,dysprosium_oxide,MY→JP co-product oxide; co-flow lock requires both oxides on arc
hydrochloric acid digestion,MY,molten_salt electrolysis,US,dysprosium_oxide,MY→US co-product oxide; co-flow lock requires both oxides on arc
magnet manufacturing,EE,magnet_market_mix,JP,hp_magnet,EE→JP finished magnet; cost row existed
sulfuric acid digestion,EE,metallothermic reduction,JP,neodynium_oxide,EE→JP co-product oxide; co-flow lock requires both oxides on arc
sulfuric acid digestion,EE,metallothermic reduction,US,neodynium_oxide,EE→US co-product oxide; co-flow lock requires both oxides on arc
sulfuric acid digestion,EE,molten_salt electrolysis,JP,dysprosium_oxide,EE→JP co-product oxide; co-flow lock requires both oxides on arc
sulfuric acid digestion,EE,molten_salt electrolysis,US,dysprosium_oxide,EE→US co-product oxide; co-flow lock requires both oxides on arc
sulfuric acid digestion,MY,metallothermic reduction,EE,neodynium_oxide,MY→EE co-product oxide; co-flow lock requires both oxides on arc
sulfuric acid digestion,MY,metallothermic reduction,JP,neodynium_oxide,MY→JP co-product oxide; co-flow lock requires both oxides on arc
sulfuric acid digestion,MY,metallothermic reduction,US,neodynium_oxide,MY→US co-product oxide; co-flow lock requires both oxides on arc
sulfuric acid digestion,MY,molten_salt electrolysis,EE,dysprosium_oxide,MY→EE co-product oxide; co-flow lock requires both oxides on arc
sulfuric acid digestion,MY,molten_salt electrolysis,JP,dysprosium_oxide,MY→JP co-product oxide; co-flow lock requires both oxides on arc
sulfuric acid digestion,MY,molten_salt electrolysis,US,dysprosium_oxide,MY→US co-product oxide; co-flow lock requires both oxides on arc
