time_period,process,location,material,yield
0,Bauxite mining,AU,bauxite,1
0,Bauxite mining,CN,bauxite,1
0,Bauxite mining,GR,bauxite,1
0,Bauxite mining,KZ,bauxite,1
0,Bayer liquor refining,AU,4N_Ga,0.313
0,Bayer liquor refining,CA,4N_Ga,0.313
0,Bayer liquor refining,CN,4N_Ga,0.313
0,Bayer liquor refining,GR,4N_Ga,0.313
0,Bayer liquor refining,KZ,4N_Ga,0.313
0,Bayer liquor refining,US,4N_Ga,0.313
0,Bayer process / alumina refining,AU,Bayer_liquor,0.7
0,Bayer process / alumina refining,CA,Bayer_liquor,0.7
0,Bayer process / alumina refining,CN,Bayer_liquor,0.7
0,Bayer process / alumina refining,GR,Bayer_liquor,0.7
0,Bayer process / alumina refining,KZ,Bayer_liquor,0.7
0,Bayer process / alumina refining,US,Bayer_liquor,0.7
0,High-purity gallium refining,CA,6N_Ga,0.99
0,High-purity gallium refining,CN,6N_Ga,0.99
0,High-purity gallium refining,JP,6N_Ga,0.99
0,High-purity gallium refining,US,6N_Ga,0.99
0,New manufacturing scrap recovery,CA,6N_Ga,0.95
0,New manufacturing scrap recovery,CN,6N_Ga,0.95
0,New manufacturing scrap recovery,JP,6N_Ga,0.95
0,New manufacturing scrap recovery,KR,6N_Ga,0.95
0,New manufacturing scrap recovery,US,6N_Ga,0.95
0,TMG synthesis,CN,TMG,0.98
0,TMG synthesis,JP,TMG,0.98
0,TMG synthesis,KR,TMG,0.98
0,TMG synthesis,US,TMG,0.98
0,Wafer manufacturing,CN,GaAs_wafer,0.9
0,Wafer manufacturing,CN,GaN_wafer,0.9
0,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.1
0,Wafer manufacturing,JP,GaAs_wafer,0.9
0,Wafer manufacturing,JP,GaN_wafer,0.9
0,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.1
0,Wafer manufacturing,KR,GaAs_wafer,0.9
0,Wafer manufacturing,KR,GaN_wafer,0.9
0,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.1
0,Wafer manufacturing,US,GaAs_wafer,0.9
0,Wafer manufacturing,US,GaN_wafer,0.9
0,Wafer manufacturing,US,Ga_manufacturing_scrap,0.1
0,ZLR refining,CN,4N_Ga,0.64
0,ZLR refining,JP,4N_Ga,0.606
0,ZLR refining,KR,4N_Ga,0.606
0,ZLR refining,US,4N_Ga,0.606
0,ZS mining,AU,Zn_sphalerite_concentrate,1
0,ZS mining,CA,Zn_sphalerite_concentrate,1
0,ZS mining,CN,Zn_sphalerite_concentrate,1
0,ZS mining,KZ,Zn_sphalerite_concentrate,1
0,ZS mining,US,Zn_sphalerite_concentrate,1
0,Zinc concentration,AU,Zn_sphalerite_concentrate,1
