time_period,process,location,material,yield
0,Zinc concentration,CA,Zn_sphalerite_concentrate,1
0,Zinc concentration,CN,Zn_sphalerite_concentrate,1
0,Zinc concentration,JP,Zn_sphalerite_concentrate,1
0,Zinc concentration,KR,Zn_sphalerite_concentrate,1
0,Zinc concentration,KZ,Zn_sphalerite_concentrate,1
0,Zinc concentration,US,Zn_sphalerite_concentrate,1
0,Zinc smelting/refining,CN,ZLR_Zn_residue,1
0,Zinc smelting/refining,JP,ZLR_Zn_residue,1
0,Zinc smelting/refining,KR,ZLR_Zn_residue,1
0,Zinc smelting/refining,US,ZLR_Zn_residue,1
0,wafer_market_mix,US,GaAs_wafer,1
0,wafer_market_mix,US,GaN_wafer,1
1,Bauxite mining,AU,bauxite,1
1,Bauxite mining,CN,bauxite,1
1,Bauxite mining,GR,bauxite,1
1,Bauxite mining,KZ,bauxite,1
1,Bayer liquor refining,AU,4N_Ga,0.313
1,Bayer liquor refining,CA,4N_Ga,0.313
1,Bayer liquor refining,CN,4N_Ga,0.313
1,Bayer liquor refining,GR,4N_Ga,0.313
1,Bayer liquor refining,KZ,4N_Ga,0.313
1,Bayer liquor refining,US,4N_Ga,0.313
1,Bayer process / alumina refining,AU,Bayer_liquor,0.7
1,Bayer process / alumina refining,CA,Bayer_liquor,0.7
1,Bayer process / alumina refining,CN,Bayer_liquor,0.7
1,Bayer process / alumina refining,GR,Bayer_liquor,0.7
1,Bayer process / alumina refining,KZ,Bayer_liquor,0.7
1,Bayer process / alumina refining,US,Bayer_liquor,0.7
1,High-purity gallium refining,CA,6N_Ga,0.99
1,High-purity gallium refining,CN,6N_Ga,0.99
1,High-purity gallium refining,JP,6N_Ga,0.99
1,High-purity gallium refining,US,6N_Ga,0.99
1,New manufacturing scrap recovery,CA,6N_Ga,0.95
1,New manufacturing scrap recovery,CN,6N_Ga,0.95
1,New manufacturing scrap recovery,JP,6N_Ga,0.95
1,New manufacturing scrap recovery,KR,6N_Ga,0.95
1,New manufacturing scrap recovery,US,6N_Ga,0.95
1,TMG synthesis,CN,TMG,0.98
1,TMG synthesis,JP,TMG,0.98
1,TMG synthesis,KR,TMG,0.98
1,TMG synthesis,US,TMG,0.98
1,Wafer manufacturing,CN,GaAs_wafer,0.9
1,Wafer manufacturing,CN,GaN_wafer,0.9
1,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.1
1,Wafer manufacturing,JP,GaAs_wafer,0.9
1,Wafer manufacturing,JP,GaN_wafer,0.9
1,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.1
1,Wafer manufacturing,KR,GaAs_wafer,0.9
1,Wafer manufacturing,KR,GaN_wafer,0.9
1,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.1
1,Wafer manufacturing,US,GaAs_wafer,0.9
1,Wafer manufacturing,US,GaN_wafer,0.9
1,Wafer manufacturing,US,Ga_manufacturing_scrap,0.1
1,ZLR refining,CN,4N_Ga,0.64
1,ZLR refining,JP,4N_Ga,0.606
1,ZLR refining,KR,4N_Ga,0.606
1,ZLR refining,US,4N_Ga,0.606
1,ZS mining,AU,Zn_sphalerite_concentrate,1
1,ZS mining,CA,Zn_sphalerite_concentrate,1
1,ZS mining,CN,Zn_sphalerite_concentrate,1
1,ZS mining,KZ,Zn_sphalerite_concentrate,1
1,ZS mining,US,Zn_sphalerite_concentrate,1
1,Zinc concentration,AU,Zn_sphalerite_concentrate,1
1,Zinc concentration,CA,Zn_sphalerite_concentrate,1
1,Zinc concentration,CN,Zn_sphalerite_concentrate,1
1,Zinc concentration,JP,Zn_sphalerite_concentrate,1
1,Zinc concentration,KR,Zn_sphalerite_concentrate,1
1,Zinc concentration,KZ,Zn_sphalerite_concentrate,1
1,Zinc concentration,US,Zn_sphalerite_concentrate,1
1,Zinc smelting/refining,CN,ZLR_Zn_residue,1
1,Zinc smelting/refining,JP,ZLR_Zn_residue,1
1,Zinc smelting/refining,KR,ZLR_Zn_residue,1
1,Zinc smelting/refining,US,ZLR_Zn_residue,1
1,wafer_market_mix,US,GaAs_wafer,1
1,wafer_market_mix,US,GaN_wafer,1
2,Bauxite mining,AU,bauxite,1
2,Bauxite mining,CN,bauxite,1
2,Bauxite mining,GR,bauxite,1
2,Bauxite mining,KZ,bauxite,1
2,Bayer liquor refining,AU,4N_Ga,0.313
2,Bayer liquor refining,CA,4N_Ga,0.313
2,Bayer liquor refining,CN,4N_Ga,0.313
2,Bayer liquor refining,GR,4N_Ga,0.313
2,Bayer liquor refining,KZ,4N_Ga,0.313
2,Bayer liquor refining,US,4N_Ga,0.313
2,Bayer process / alumina refining,AU,Bayer_liquor,0.7
2,Bayer process / alumina refining,CA,Bayer_liquor,0.7
2,Bayer process / alumina refining,CN,Bayer_liquor,0.7
2,Bayer process / alumina refining,GR,Bayer_liquor,0.7
2,Bayer process / alumina refining,KZ,Bayer_liquor,0.7
2,Bayer process / alumina refining,US,Bayer_liquor,0.7
2,High-purity gallium refining,CA,6N_Ga,0.99
2,High-purity gallium refining,CN,6N_Ga,0.99
2,High-purity gallium refining,JP,6N_Ga,0.99
2,High-purity gallium refining,US,6N_Ga,0.99
2,New manufacturing scrap recovery,CA,6N_Ga,0.95
2,New manufacturing scrap recovery,CN,6N_Ga,0.95
2,New manufacturing scrap recovery,JP,6N_Ga,0.95
2,New manufacturing scrap recovery,KR,6N_Ga,0.95
2,New manufacturing scrap recovery,US,6N_Ga,0.95
2,TMG synthesis,CN,TMG,0.98
2,TMG synthesis,JP,TMG,0.98
2,TMG synthesis,KR,TMG,0.98
2,TMG synthesis,US,TMG,0.98
2,Wafer manufacturing,CN,GaAs_wafer,0.9
2,Wafer manufacturing,CN,GaN_wafer,0.9
2,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.1
2,Wafer manufacturing,JP,GaAs_wafer,0.9
2,Wafer manufacturing,JP,GaN_wafer,0.9
2,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.1
2,Wafer manufacturing,KR,GaAs_wafer,0.9
2,Wafer manufacturing,KR,GaN_wafer,0.9
2,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.1
2,Wafer manufacturing,US,GaAs_wafer,0.9
2,Wafer manufacturing,US,GaN_wafer,0.9
2,Wafer manufacturing,US,Ga_manufacturing_scrap,0.1
2,ZLR refining,CN,4N_Ga,0.64
2,ZLR refining,JP,4N_Ga,0.606
2,ZLR refining,KR,4N_Ga,0.606
2,ZLR refining,US,4N_Ga,0.606
2,ZS mining,AU,Zn_sphalerite_concentrate,1
2,ZS mining,CA,Zn_sphalerite_concentrate,1
2,ZS mining,CN,Zn_sphalerite_concentrate,1
2,ZS mining,KZ,Zn_sphalerite_concentrate,1
2,ZS mining,US,Zn_sphalerite_concentrate,1
2,Zinc concentration,AU,Zn_sphalerite_concentrate,1
2,Zinc concentration,CA,Zn_sphalerite_concentrate,1
2,Zinc concentration,CN,Zn_sphalerite_concentrate,1
2,Zinc concentration,JP,Zn_sphalerite_concentrate,1
2,Zinc concentration,KR,Zn_sphalerite_concentrate,1
2,Zinc concentration,KZ,Zn_sphalerite_concentrate,1
2,Zinc concentration,US,Zn_sphalerite_concentrate,1
2,Zinc smelting/refining,CN,ZLR_Zn_residue,1
2,Zinc smelting/refining,JP,ZLR_Zn_residue,1
2,Zinc smelting/refining,KR,ZLR_Zn_residue,1
2,Zinc smelting/refining,US,ZLR_Zn_residue,1
2,wafer_market_mix,US,GaAs_wafer,1
2,wafer_market_mix,US,GaN_wafer,1
3,Bauxite mining,AU,bauxite,1
3,Bauxite mining,CN,bauxite,1
3,Bauxite mining,GR,bauxite,1
3,Bauxite mining,KZ,bauxite,1
3,Bayer liquor refining,AU,4N_Ga,0.313
3,Bayer liquor refining,CA,4N_Ga,0.313
3,Bayer liquor refining,CN,4N_Ga,0.313
3,Bayer liquor refining,GR,4N_Ga,0.313
3,Bayer liquor refining,KZ,4N_Ga,0.313
3,Bayer liquor refining,US,4N_Ga,0.313
3,Bayer process / alumina refining,AU,Bayer_liquor,0.7
3,Bayer process / alumina refining,CA,Bayer_liquor,0.7
3,Bayer process / alumina refining,CN,Bayer_liquor,0.7
3,Bayer process / alumina refining,GR,Bayer_liquor,0.7
3,Bayer process / alumina refining,KZ,Bayer_liquor,0.7
3,Bayer process / alumina refining,US,Bayer_liquor,0.7
3,High-purity gallium refining,CA,6N_Ga,0.99
3,High-purity gallium refining,CN,6N_Ga,0.99
3,High-purity gallium refining,JP,6N_Ga,0.99
3,High-purity gallium refining,US,6N_Ga,0.99
3,New manufacturing scrap recovery,CA,6N_Ga,0.95
3,New manufacturing scrap recovery,CN,6N_Ga,0.95
3,New manufacturing scrap recovery,JP,6N_Ga,0.95
3,New manufacturing scrap recovery,KR,6N_Ga,0.95
3,New manufacturing scrap recovery,US,6N_Ga,0.95
3,TMG synthesis,CN,TMG,0.98
3,TMG synthesis,JP,TMG,0.98
3,TMG synthesis,KR,TMG,0.98
3,TMG synthesis,US,TMG,0.98
3,Wafer manufacturing,CN,GaAs_wafer,0.9
3,Wafer manufacturing,CN,GaN_wafer,0.9
3,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.1
3,Wafer manufacturing,JP,GaAs_wafer,0.9
3,Wafer manufacturing,JP,GaN_wafer,0.9
3,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.1
3,Wafer manufacturing,KR,GaAs_wafer,0.9
3,Wafer manufacturing,KR,GaN_wafer,0.9
3,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.1
3,Wafer manufacturing,US,GaAs_wafer,0.9
3,Wafer manufacturing,US,GaN_wafer,0.9
3,Wafer manufacturing,US,Ga_manufacturing_scrap,0.1
3,ZLR refining,CN,4N_Ga,0.64
3,ZLR refining,JP,4N_Ga,0.606
3,ZLR refining,KR,4N_Ga,0.606
3,ZLR refining,US,4N_Ga,0.606
3,ZS mining,AU,Zn_sphalerite_concentrate,1
3,ZS mining,CA,Zn_sphalerite_concentrate,1
3,ZS mining,CN,Zn_sphalerite_concentrate,1
3,ZS mining,KZ,Zn_sphalerite_concentrate,1
3,ZS mining,US,Zn_sphalerite_concentrate,1
3,Zinc concentration,AU,Zn_sphalerite_concentrate,1
3,Zinc concentration,CA,Zn_sphalerite_concentrate,1
3,Zinc concentration,CN,Zn_sphalerite_concentrate,1
3,Zinc concentration,JP,Zn_sphalerite_concentrate,1
3,Zinc concentration,KR,Zn_sphalerite_concentrate,1
3,Zinc concentration,KZ,Zn_sphalerite_concentrate,1
3,Zinc concentration,US,Zn_sphalerite_concentrate,1
3,Zinc smelting/refining,CN,ZLR_Zn_residue,1
3,Zinc smelting/refining,JP,ZLR_Zn_residue,1
3,Zinc smelting/refining,KR,ZLR_Zn_residue,1
3,Zinc smelting/refining,US,ZLR_Zn_residue,1
3,wafer_market_mix,US,GaAs_wafer,1
3,wafer_market_mix,US,GaN_wafer,1
4,Bauxite mining,AU,bauxite,1
4,Bauxite mining,CN,bauxite,1
4,Bauxite mining,GR,bauxite,1
4,Bauxite mining,KZ,bauxite,1
4,Bayer liquor refining,AU,4N_Ga,0.313
4,Bayer liquor refining,CA,4N_Ga,0.313
4,Bayer liquor refining,CN,4N_Ga,0.313
4,Bayer liquor refining,GR,4N_Ga,0.313
4,Bayer liquor refining,KZ,4N_Ga,0.313
4,Bayer liquor refining,US,4N_Ga,0.313
4,Bayer process / alumina refining,AU,Bayer_liquor,0.7
4,Bayer process / alumina refining,CA,Bayer_liquor,0.7
4,Bayer process / alumina refining,CN,Bayer_liquor,0.7
4,Bayer process / alumina refining,GR,Bayer_liquor,0.7
4,Bayer process / alumina refining,KZ,Bayer_liquor,0.7
4,Bayer process / alumina refining,US,Bayer_liquor,0.7
4,High-purity gallium refining,CA,6N_Ga,0.99
4,High-purity gallium refining,CN,6N_Ga,0.99
4,High-purity gallium refining,JP,6N_Ga,0.99
4,High-purity gallium refining,US,6N_Ga,0.99
4,New manufacturing scrap recovery,CA,6N_Ga,0.95
4,New manufacturing scrap recovery,CN,6N_Ga,0.95
4,New manufacturing scrap recovery,JP,6N_Ga,0.95
4,New manufacturing scrap recovery,KR,6N_Ga,0.95
4,New manufacturing scrap recovery,US,6N_Ga,0.95
4,TMG synthesis,CN,TMG,0.98
4,TMG synthesis,JP,TMG,0.98
4,TMG synthesis,KR,TMG,0.98
4,TMG synthesis,US,TMG,0.98
4,Wafer manufacturing,CN,GaAs_wafer,0.9
4,Wafer manufacturing,CN,GaN_wafer,0.9
4,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.1
4,Wafer manufacturing,JP,GaAs_wafer,0.9
4,Wafer manufacturing,JP,GaN_wafer,0.9
4,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.1
4,Wafer manufacturing,KR,GaAs_wafer,0.9
4,Wafer manufacturing,KR,GaN_wafer,0.9
4,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.1
4,Wafer manufacturing,US,GaAs_wafer,0.9
4,Wafer manufacturing,US,GaN_wafer,0.9
4,Wafer manufacturing,US,Ga_manufacturing_scrap,0.1
4,ZLR refining,CN,4N_Ga,0.64
4,ZLR refining,JP,4N_Ga,0.606
4,ZLR refining,KR,4N_Ga,0.606
4,ZLR refining,US,4N_Ga,0.606
4,ZS mining,AU,Zn_sphalerite_concentrate,1
4,ZS mining,CA,Zn_sphalerite_concentrate,1
4,ZS mining,CN,Zn_sphalerite_concentrate,1
4,ZS mining,KZ,Zn_sphalerite_concentrate,1
4,ZS mining,US,Zn_sphalerite_concentrate,1
4,Zinc concentration,AU,Zn_sphalerite_concentrate,1
4,Zinc concentration,CA,Zn_sphalerite_concentrate,1
4,Zinc concentration,CN,Zn_sphalerite_concentrate,1
4,Zinc concentration,JP,Zn_sphalerite_concentrate,1
4,Zinc concentration,KR,Zn_sphalerite_concentrate,1
4,Zinc concentration,KZ,Zn_sphalerite_concentrate,1
4,Zinc concentration,US,Zn_sphalerite_concentrate,1
4,Zinc smelting/refining,CN,ZLR_Zn_residue,1
4,Zinc smelting/refining,JP,ZLR_Zn_residue,1
4,Zinc smelting/refining,KR,ZLR_Zn_residue,1
4,Zinc smelting/refining,US,ZLR_Zn_residue,1
4,wafer_market_mix,US,GaAs_wafer,1
4,wafer_market_mix,US,GaN_wafer,1
