time_period,source,location,material,EF_weighted__Global Warming Potential (Gwp1000),EF_RECIPE__Agricultural Land Occupation (Lop),EF_RECIPE__Fossil Fuel Potential (Ffp),EF_RECIPE__Freshwater Ecotoxicity Potential (Fetp),EF_RECIPE__Freshwater Eutrophication Potential (Fep),EF_RECIPE__Global Warming Potential (Gwp1000),EF_RECIPE__Human Toxicity Potential (Htpc),EF_RECIPE__Ionising Radiation Potential (Irp),EF_RECIPE__Marine Ecotoxicity Potential (Metp),EF_RECIPE__Marine Eutrophication Potential (Mep),EF_RECIPE__Ozone Depletion Potential (Odpinfinite),EF_RECIPE__Particulate Matter Formation Potential (Pmfp),EF_RECIPE__Photochemical Oxidant Formation Potential: Humans (Hofp),EF_RECIPE__Surplus Ore Potential (Sop),EF_RECIPE__Terrestrial Acidification Potential (Tap),EF_RECIPE__Terrestrial Ecotoxicity Potential (Tetp),EF_RECIPE__Water Consumption Potential (Wcp),EF_TRACI__Acidification Potential (Ap),EF_TRACI__Ecotoxicity: Freshwater,EF_TRACI__Eutrophication Potential,EF_TRACI__Global Warming Potential (Gwp100),EF_TRACI__Human Toxicity: Carcinogenic,EF_TRACI__Human Toxicity: Non-Carcinogenic,EF_TRACI__Maximum Incremental Reactivity (Mir),EF_TRACI__Ozone Depletion Potential (Odp),EF_TRACI__Particulate Matter Formation Potential (Pmfp),unit,lcia_source_file,lcia_scope,source_status,comments,include_scope_A_material_supply,include_scope_B_with_wafer_processing,lcia_scope_note,exclusion_reason,source_basis,lcia_scope_name
0,Bauxite mining,AU,bauxite,0.012269178,9.92e-05,0.003611642,0.000139532,9.4e-07,0.012269178,0.000300399,0.000247505,0.000226248,1.26e-07,1.23e-08,3.26e-05,0.000109227,0.041550915,8.67e-05,0.08422037,0.000468297,0.000122117,0.051144964,1.65e-05,0.012164177,4.13e-10,1.61e-09,0.00269338,1.97e-09,2.44e-05,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,ecoinvent_proxy,Bauxite mining burden modeled separately using ecoinvent bauxite mine operation proxy; supplier geography GLO may differ from topology process_location. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
0,Bauxite mining,CN,bauxite,0.012269178,9.92e-05,0.003611642,0.000139532,9.4e-07,0.012269178,0.000300399,0.000247505,0.000226248,1.26e-07,1.23e-08,3.26e-05,0.000109227,0.041550915,8.67e-05,0.08422037,0.000468297,0.000122117,0.051144964,1.65e-05,0.012164177,4.13e-10,1.61e-09,0.00269338,1.97e-09,2.44e-05,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,ecoinvent_proxy,Bauxite mining burden modeled separately using ecoinvent bauxite mine operation proxy; supplier geography GLO may differ from topology process_location. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
0,Bauxite mining,GR,bauxite,0.012269178,9.92e-05,0.003611642,0.000139532,9.4e-07,0.012269178,0.000300399,0.000247505,0.000226248,1.26e-07,1.23e-08,3.26e-05,0.000109227,0.041550915,8.67e-05,0.08422037,0.000468297,0.000122117,0.051144964,1.65e-05,0.012164177,4.13e-10,1.61e-09,0.00269338,1.97e-09,2.44e-05,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,ecoinvent_proxy,Bauxite mining burden modeled separately using ecoinvent bauxite mine operation proxy; supplier geography GLO may differ from topology process_location. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
0,Bauxite mining,KZ,bauxite,0.012269178,9.92e-05,0.003611642,0.000139532,9.4e-07,0.012269178,0.000300399,0.000247505,0.000226248,1.26e-07,1.23e-08,3.26e-05,0.000109227,0.041550915,8.67e-05,0.08422037,0.000468297,0.000122117,0.051144964,1.65e-05,0.012164177,4.13e-10,1.61e-09,0.00269338,1.97e-09,2.44e-05,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,ecoinvent_proxy,Bauxite mining burden modeled separately using ecoinvent bauxite mine operation proxy; supplier geography GLO may differ from topology process_location. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
0,Bayer liquor refining,AU,4N_Ga,237.5097011,3.31672869,59.9336604,11.45946603,0.219298348,237.5097011,17.58767522,13.48813888,15.40748155,0.038071925,0.000150765,0.416245802,0.525314251,39.64253911,0.921690971,698.5003631,3.886411867,1.131246413,3485.782315,1.779036109,232.6007719,2.47e-05,9.38e-05,13.03957589,7.42e-05,0.209348922,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,source_supported_foreground,Luo 2025 Bayer-liquor-to-4N_Ga foreground boundary; node-level step-wise factor excludes upstream bauxite/alumina burden. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
0,Bayer liquor refining,CA,4N_Ga,167.4790551,3.67047815,44.04141103,8.879825319,0.085720646,167.4790551,11.04617381,29.20968891,11.75282701,0.030206992,0.00014567,0.444855675,0.382763622,39.77652856,1.032218813,746.4476558,6.642506105,1.182511247,2844.139115,0.782793525,162.8921921,1.53e-05,6.42e-05,9.503461551,7.44e-05,0.213738961,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,source_supported_foreground,Luo 2025 Bayer-liquor-to-4N_Ga foreground boundary; node-level step-wise factor excludes upstream bauxite/alumina burden. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
0,Bayer liquor refining,CN,4N_Ga,253.8027834,4.34002249,60.07590236,9.099674822,0.08321264,253.8027834,12.83707516,15.20363256,12.0971869,0.029850818,0.000156817,0.582690682,0.648380869,39.86760496,1.335303144,782.9105144,4.841025991,1.600943398,2984.631871,0.77537162,243.5458385,1.78e-05,7.25e-05,16.10082096,7.38e-05,0.287598142,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,source_supported_foreground,Luo 2025 Bayer-liquor-to-4N_Ga foreground boundary; node-level step-wise factor excludes upstream bauxite/alumina burden. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
0,Bayer liquor refining,GR,4N_Ga,228.2524824,3.232098736,66.07032743,12.91252904,0.247097561,228.2524824,19.14264307,14.0665031,17.365914,0.040001043,0.000162495,0.56392531,0.445087703,39.82253154,1.333511833,841.3522284,4.98060749,1.52359243,3946.261795,1.98701369,222.6643256,2.68e-05,0.00010149,11.04372488,8.16e-05,0.263608291,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,source_supported_foreground,Luo 2025 Bayer-liquor-to-4N_Ga foreground boundary; node-level step-wise factor excludes upstream bauxite/alumina burden. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
0,Bayer liquor refining,KZ,4N_Ga,248.0098231,4.042133881,61.84508343,9.981276223,0.096438389,248.0098231,12.37743257,13.74532651,13.31604713,0.030699992,0.000151443,0.610416457,0.592402036,39.85706701,1.483364187,777.1811904,4.691982726,1.725429866,3129.101257,0.917248819,240.235358,1.71e-05,8.85e-05,14.70275168,7.44e-05,0.273297191,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,source_supported_foreground,Luo 2025 Bayer-liquor-to-4N_Ga foreground boundary; node-level step-wise factor excludes upstream bauxite/alumina burden. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
0,Bayer liquor refining,US,4N_Ga,195.834598,3.929586117,50.18643117,8.437741645,0.100421794,195.834598,11.41533771,28.75695598,11.23250691,0.031162822,0.000153085,0.44374557,0.397726549,39.68567635,0.733264228,681.9099025,3.944311951,0.891466871,2675.911277,0.892979522,190.4916576,1.58e-05,6.64e-05,9.879463287,7.59e-05,0.283394796,LCIA indicator units vary by EF_* column; active GWP alias in kg CO2-Eq/kg output,data/gallium/lcia/gallium_lcia_node_summary.csv,total_life_cycle,source_supported_foreground,Luo 2025 Bayer-liquor-to-4N_Ga foreground boundary; node-level step-wise factor excludes upstream bauxite/alumina burden. Biosphere rows were excluded from the successful LiAISON run; technosphere/background burdens retained. Active optimizer alias uses EF_RECIPE__Global Warming Potential (Gwp1000).,True,True,Scope A material-supply baseline row retained; also included in Scope B.,,Node-level material-supply LCIA factor retained in both scopes.,Scope A - material-supply baseline
