time_period,source,source_location,destination,destination_location,material,flow_value
3,direct reuse,US,magnet_market_mix,US,hp_magnet,104412.0866230863
3,magnet manufacturing,JP,magnet_market_mix,US,hp_magnet,851349.8926987214
3,magnet manufacturing,US,magnet_market_mix,US,hp_magnet,1000000.000717165
3,magnet_market_mix,US,use phase,US,hp_magnet,1955761.9480787497
3,metallothermic reduction,CN,chemical transformation,CN,dysprosium,33826.35877843472
3,metallothermic reduction,CN,chemical transformation,US,dysprosium,20833.331865184457
3,mining,CA,mining,CA,bastnasite,2465514.8184975293
3,mining,CN,beneficiation,CN,monazaite,5584972.985538006
3,mining,CN,chemical transformation,CN,iron,1082443.4809099108
3,mining,US,chemical transformation,US,iron,666666.6671589554
3,molten_salt electrolysis,CN,chemical transformation,CN,neodynium,507395.3816765207
3,molten_salt electrolysis,US,chemical transformation,US,neodynium,312499.99933935783
3,sulfuric acid digestion,CN,molten_salt electrolysis,CN,neodynium_oxide,588349.3042885589
3,sulfuric acid digestion,CN,molten_salt electrolysis,CN,dysprosium_oxide,2845.1560699162014
3,sulfuric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,373339.38559260423
3,sulfuric acid digestion,CN,molten_salt electrolysis,US,dysprosium_oxide,1805.4050726301912
3,use phase,US,direct reuse,US,hp_magnet,145073.44763450124
4,beneficiation,CN,sulfuric acid digestion,CN,phosphate,2653627.81684288
4,chemical transformation,CN,magnet manufacturing,JP,neodynium dysprosium iron alloy,1520268.6374744738
4,chemical transformation,CN,magnet manufacturing,US,neodynium dysprosium iron alloy,963807.3357372299
4,chemical transformation,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,547075.735052087
4,chemical transformation,US,magnet manufacturing,US,neodynium dysprosium iron alloy,452924.2653764283
4,clay mining,BR,clay refining,BR,ion adsorption clay,59111.716029941446
4,clay mining,CN,clay refining,CN,ion adsorption clay,89184.09076172399
4,clay mining,MM,clay refining,MM,ion adsorption clay,54375.950089969105
4,clay refining,BR,metallothermic reduction,EE,neodynium_oxide,24826.919064085258
4,clay refining,BR,metallothermic reduction,EE,dysprosium_oxide,26009.153305143198
4,clay refining,CN,metallothermic reduction,CN,neodynium_oxide,37393.194646329495
4,clay refining,CN,metallothermic reduction,CN,dysprosium_oxide,41939.799579538696
4,clay refining,MM,metallothermic reduction,CN,neodynium_oxide,18487.82303329919
4,clay refining,MM,metallothermic reduction,CN,dysprosium_oxide,21750.38003917552
4,direct reuse,US,magnet_market_mix,US,hp_magnet,139995.8769672937
4,magnet manufacturing,JP,magnet_market_mix,US,hp_magnet,1473975.1907097278
