time_period,source,source_location,destination,destination_location,material,flow_value
0,beneficiation,CN,sulfuric acid digestion,CN,phosphate,1623637.6503796126
0,beneficiation,CN,hydrochloric acid digestion,CN,flurocarbonate,52.653038934106924
0,chemical transformation,CN,magnet manufacturing,CN,neodynium dysprosium iron alloy,25.283057435240213
0,chemical transformation,CN,magnet manufacturing,JP,neodynium dysprosium iron alloy,375.22830127812614
0,chemical transformation,CN,magnet manufacturing,US,neodynium dysprosium iron alloy,75.98957010689001
0,chemical transformation,CN,magnet manufacturing,EE,neodynium dysprosium iron alloy,1646829.3740441087
0,chemical transformation,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,375.1440338686448
0,chemical transformation,US,magnet manufacturing,US,neodynium dysprosium iron alloy,75.98777299739199
0,chemical transformation,US,magnet manufacturing,EE,neodynium dysprosium iron alloy,999546.8223765725
0,clay mining,BR,clay refining,BR,ion adsorption clay,625705.1900282607
0,clay mining,CN,clay refining,CN,ion adsorption clay,93454.05141002958
0,clay mining,MM,clay refining,MM,ion adsorption clay,16.9708993954856
0,clay refining,BR,metallothermic reduction,JP,neodynium_oxide,13518.087377589865
0,clay refining,BR,metallothermic reduction,JP,dysprosium_oxide,14193.99174637573
0,clay refining,BR,metallothermic reduction,EE,neodynium_oxide,12138.458083153768
0,clay refining,BR,metallothermic reduction,EE,dysprosium_oxide,12745.380987217826
0,clay refining,BR,molten_salt electrolysis,JP,neodynium_oxide,115126.14082749898
0,clay refining,BR,molten_salt electrolysis,JP,dysprosium_oxide,120882.44786878029
0,clay refining,BR,molten_salt electrolysis,US,neodynium_oxide,56.95674525215128
0,clay refining,BR,molten_salt electrolysis,US,dysprosium_oxide,59.80458242113089
0,clay refining,BR,molten_salt electrolysis,EE,neodynium_oxide,109442.43298779328
0,clay refining,BR,molten_salt electrolysis,EE,dysprosium_oxide,114914.55463708931
0,clay refining,CN,metallothermic reduction,CN,neodynium_oxide,38405.99464301325
0,clay refining,CN,metallothermic reduction,CN,dysprosium_oxide,43075.70615031174
0,clay refining,CN,metallothermic reduction,JP,neodynium_oxide,2.042505555495854
0,clay refining,CN,metallothermic reduction,JP,dysprosium_oxide,2.290849738762953
0,clay refining,CN,metallothermic reduction,EE,neodynium_oxide,2.042478965196646
0,clay refining,CN,metallothermic reduction,EE,dysprosium_oxide,2.29081991540007
0,clay refining,CN,molten_salt electrolysis,CN,neodynium_oxide,1.292873511325676
0,clay refining,CN,molten_salt electrolysis,CN,dysprosium_oxide,1.4500713666415619
0,clay refining,CN,molten_salt electrolysis,JP,neodynium_oxide,1.2928548427907707
0,clay refining,CN,molten_salt electrolysis,JP,dysprosium_oxide,1.4500504282351672
0,clay refining,CN,molten_salt electrolysis,US,neodynium_oxide,1.2641726021061777
0,clay refining,CN,molten_salt electrolysis,US,dysprosium_oxide,1.4178807687080306
0,clay refining,CN,molten_salt electrolysis,EE,neodynium_oxide,1.2928540849020038
0,clay refining,CN,molten_salt electrolysis,EE,dysprosium_oxide,1.450049578196153
0,clay refining,MM,metallothermic reduction,CN,neodynium_oxide,4.648691830573762
0,clay refining,MM,metallothermic reduction,CN,dysprosium_oxide,5.520321548806343
0,clay refining,MM,molten_salt electrolysis,CN,neodynium_oxide,0.7819959759816303
0,clay refining,MM,molten_salt electrolysis,CN,dysprosium_oxide,0.9286202214781857
0,hydrochloric acid digestion,CN,metallothermic reduction,CN,neodynium_oxide,0.23104143950498013
0,hydrochloric acid digestion,CN,metallothermic reduction,JP,neodynium_oxide,0.23092767437423994
0,hydrochloric acid digestion,CN,metallothermic reduction,EE,neodynium_oxide,0.2309276724365609
0,hydrochloric acid digestion,CN,molten_salt electrolysis,CN,neodynium_oxide,6.139172211298557
0,hydrochloric acid digestion,CN,molten_salt electrolysis,JP,neodynium_oxide,6.138762989715094
0,hydrochloric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,5.541529328887669
0,hydrochloric acid digestion,CN,molten_salt electrolysis,EE,neodynium_oxide,6.1387483640532405
0,magnet manufacturing,CN,magnet_market_mix,US,hp_magnet,18.026307160479103
0,magnet manufacturing,EE,magnet_market_mix,US,hp_magnet,1849816.9612840763
0,magnet manufacturing,JP,magnet_market_mix,US,hp_magnet,524.5102482877934
0,magnet manufacturing,US,magnet_market_mix,US,hp_magnet,105.16982736159271
0,magnet_market_mix,US,use phase,US,hp_magnet,1850464.6676768858
0,metallothermic reduction,CN,chemical transformation,CN,dysprosium,34318.872395269354
0,metallothermic reduction,CN,chemical transformation,US,dysprosium,0.4960582270761679
0,metallothermic reduction,EE,chemical transformation,US,dysprosium,9955.93345882707
0,metallothermic reduction,JP,chemical transformation,US,dysprosium,11087.298475021586
0,mining,AU,mining,AU,bastnasite,395.8697105952572
0,mining,BR,mining,BR,bastnasite,3304502.7322056545
0,mining,CN,mining,CN,monazaite,63.28027942898154
0,mining,CN,mining,CN,bastnasite,63.28031943508628
0,mining,CN,beneficiation,CN,monazaite,4548004.62291208
0,mining,CN,beneficiation,CN,bastnasite,782.1307031210179
0,mining,CN,chemical transformation,CN,iron,1098203.916648619
0,mining,US,mining,US,bastnasite,4745.503237141635
0,mining,US,chemical transformation,US,iron,673399.2957464234
0,molten_salt electrolysis,CN,chemical transformation,CN,neodynium,514783.0859290402
0,molten_salt electrolysis,CN,chemical transformation,US,neodynium,1.0907781038328357
0,molten_salt electrolysis,EE,chemical transformation,US,neodynium,154222.40642206732
0,molten_salt electrolysis,JP,chemical transformation,US,neodynium,161332.88248385768
0,molten_salt electrolysis,US,chemical transformation,US,neodynium,99.54019710712818
0,sulfuric acid digestion,CN,metallothermic reduction,CN,neodynium_oxide,0.24016831518569268
0,sulfuric acid digestion,CN,metallothermic reduction,JP,neodynium_oxide,0.2400454335445643
0,sulfuric acid digestion,CN,metallothermic reduction,EE,neodynium_oxide,0.2400454314496135
0,sulfuric acid digestion,CN,molten_salt electrolysis,CN,neodynium_oxide,605862.5774562387
0,sulfuric acid digestion,CN,molten_salt electrolysis,CN,dysprosium_oxide,2929.798103307114
0,sulfuric acid digestion,CN,molten_salt electrolysis,JP,neodynium_oxide,78543.35732519379
0,sulfuric acid digestion,CN,molten_salt electrolysis,JP,dysprosium_oxide,379.8158008236983
0,sulfuric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,56.94062416325155
0,sulfuric acid digestion,CN,molten_salt electrolysis,US,dysprosium_oxide,0.275351827301309
0,sulfuric acid digestion,CN,molten_salt electrolysis,EE,neodynium_oxide,75691.0794998626
0,sulfuric acid digestion,CN,molten_salt electrolysis,EE,dysprosium_oxide,366.02290707225694
0,use phase,US,direct reuse,US,hp_magnet,33801.10623673087
0,use phase,US,magnet-to-magnet recycling,US,hp_magnet,6.312145032424993
0,use phase,US,hydrometallurgical,US,hp_magnet,4.287707778402877
0,use phase,US,pyrometallurgical,US,hp_magnet,3.197969392201328
0,use phase,US,cryogenic,US,hp_magnet,2.5499002758384495
1,beneficiation,CN,sulfuric acid digestion,CN,phosphate,1501250.7718035846
1,beneficiation,CN,hydrochloric acid digestion,CN,flurocarbonate,52.69250851689301
1,chemical transformation,CN,magnet manufacturing,CN,neodynium dysprosium iron alloy,23.581638148726654
1,chemical transformation,CN,magnet manufacturing,JP,neodynium dysprosium iron alloy,170.93642427335178
1,chemical transformation,CN,magnet manufacturing,US,neodynium dysprosium iron alloy,59.929107405827054
1,chemical transformation,CN,magnet manufacturing,EE,neodynium dysprosium iron alloy,1520768.6076172146
1,chemical transformation,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,170.92934063979382
1,chemical transformation,US,magnet manufacturing,US,neodynium dysprosium iron alloy,59.92784986806769
1,chemical transformation,US,magnet manufacturing,EE,neodynium dysprosium iron alloy,999767.1408822098
1,clay mining,BR,clay refining,BR,ion adsorption clay,618343.345643616
1,clay mining,CN,clay refining,CN,ion adsorption clay,85434.47392543605
1,clay mining,MM,clay refining,MM,ion adsorption clay,16.48016008295659
1,clay refining,BR,metallothermic reduction,JP,neodynium_oxide,340.0093857006379
1,clay refining,BR,metallothermic reduction,JP,dysprosium_oxide,356.7999725564874
1,clay refining,BR,metallothermic reduction,EE,neodynium_oxide,25041.86340355678
1,clay refining,BR,metallothermic reduction,EE,dysprosium_oxide,26278.49863326972
1,clay refining,BR,molten_salt electrolysis,JP,neodynium_oxide,578.2676541445602
1,clay refining,BR,molten_salt electrolysis,JP,dysprosium_oxide,606.8240814173935
1,clay refining,BR,molten_salt electrolysis,US,neodynium_oxide,51.88152440711043
1,clay refining,BR,molten_salt electrolysis,US,dysprosium_oxide,54.44357490278584
1,clay refining,BR,molten_salt electrolysis,EE,neodynium_oxide,224417.03302783906
1,clay refining,BR,molten_salt electrolysis,EE,dysprosium_oxide,235499.35564640543
1,clay refining,CN,metallothermic reduction,CN,neodynium_oxide,35285.08512667322
1,clay refining,CN,metallothermic reduction,CN,dysprosium_oxide,39575.34286566794
1,clay refining,CN,metallothermic reduction,JP,neodynium_oxide,2.0288207694305957
1,clay refining,CN,metallothermic reduction,JP,dysprosium_oxide,2.275501716032596
1,clay refining,CN,metallothermic reduction,EE,neodynium_oxide,2.0365523884839964
1,clay refining,CN,metallothermic reduction,EE,dysprosium_oxide,2.28417341042834
1,clay refining,CN,molten_salt electrolysis,CN,neodynium_oxide,1.2865534880186202
1,clay refining,CN,molten_salt electrolysis,CN,dysprosium_oxide,1.4429833288865672
1,clay refining,CN,molten_salt electrolysis,JP,neodynium_oxide,1.2836796100436234
1,clay refining,CN,molten_salt electrolysis,JP,dysprosium_oxide,1.4397600206302101
1,clay refining,CN,molten_salt electrolysis,US,neodynium_oxide,1.2554237768263188
1,clay refining,CN,molten_salt electrolysis,US,dysprosium_oxide,1.4080686053050055
1,clay refining,CN,molten_salt electrolysis,EE,neodynium_oxide,1.286548968505119
1,clay refining,CN,molten_salt electrolysis,EE,dysprosium_oxide,1.4429782598525616
1,clay refining,MM,metallothermic reduction,CN,neodynium_oxide,4.570830931139896
1,clay refining,MM,metallothermic reduction,CN,dysprosium_oxide,5.414676641504183
1,clay refining,MM,molten_salt electrolysis,CN,neodynium_oxide,0.7852210958209965
1,clay refining,MM,molten_salt electrolysis,CN,dysprosium_oxide,0.930184990434104
1,cryogenic,US,magnet manufacturing,US,neodynium dysprosium iron alloy,1.7849301930869148
1,direct reuse,US,magnet_market_mix,US,hp_magnet,32111.05092489432
1,hydrochloric acid digestion,CN,metallothermic reduction,CN,neodynium_oxide,0.23134851160393868
1,hydrochloric acid digestion,CN,metallothermic reduction,JP,neodynium_oxide,0.23123361685213167
1,hydrochloric acid digestion,CN,metallothermic reduction,EE,neodynium_oxide,0.23123409025852082
1,hydrochloric acid digestion,CN,molten_salt electrolysis,CN,neodynium_oxide,6.207337768764347
1,hydrochloric acid digestion,CN,molten_salt electrolysis,JP,neodynium_oxide,6.140876201044217
1,hydrochloric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,5.543756977998414
1,hydrochloric acid digestion,CN,molten_salt electrolysis,EE,neodynium_oxide,6.207154545888694
1,hydrometallurgical,US,magnet manufacturing,US,neodynium dysprosium iron alloy,3.430166222722302
1,magnet manufacturing,CN,magnet_market_mix,US,hp_magnet,16.897297741931375
1,magnet manufacturing,EE,magnet_market_mix,US,hp_magnet,1774457.1669295146
1,magnet manufacturing,JP,magnet_market_mix,US,hp_magnet,240.15897647296174
1,magnet manufacturing,US,magnet_market_mix,US,hp_magnet,90.97047762603528
1,magnet-to-magnet recycling,US,magnet_market_mix,US,hp_magnet,5.365323277561243
1,magnet_market_mix,US,use phase,US,hp_magnet,1806883.1962565037
1,metallothermic reduction,CN,chemical transformation,CN,dysprosium,31687.980308063383
1,metallothermic reduction,CN,chemical transformation,US,dysprosium,0.49475568636477657
1,metallothermic reduction,EE,chemical transformation,US,dysprosium,20656.69707731928
1,metallothermic reduction,JP,chemical transformation,US,dysprosium,281.84191393133614
1,mining,AU,mining,AU,bastnasite,395.86971059525547
1,mining,BR,mining,BR,bastnasite,3304502.7322056545
1,mining,CN,mining,CN,monazaite,63.28027962633714
